Term,LoanStatus,EstimatedEffectiveYield,EstimatedReturn,ProsperRatingAlpha,ProsperScore,BorrowerState,Occupation,EmploymentStatus,FirstRecordedCreditLine,CurrentCreditLines,TotalCreditLinespast7years,CurrentDelinquencies,DelinquenciesLast7Years,IncomeRange,LoanOriginationQuarter,DebtToIncomeRatio,LoanOriginalAmount,semester,year
60,Completed,0.2612,0.1237,E,2,TX,Retail Management,Employed,1998-07-28,7.0,33.0,1.0,0.0,"$50,000-74,999",Q3 2013,0.25,4000,Q3,2013
36,Past Due (16-30 days),0.11477,0.07487,A,5,TX,Executive,Employed,1976-08-01,14.0,46.0,0.0,0.0,"$100,000+",Q4 2013,0.17,3000,Q4,2013
36,Completed,0.0608,0.0608,A,9,NY,Military Officer,Full-time,2003-10-28,14.0,18.0,0.0,0.0,"$50,000-74,999",Q2 2010,0.13,5500,Q2,2010
36,Completed,0.0772,0.0772,B,9,TX,Pharmacist,Employed,1991-03-06,14.0,47.0,0.0,0.0,"$100,000+",Q4 2010,0.2,7500,Q4,2010
36,Chargedoff,0.1904,0.1014,C,7,WA,Executive,Employed,2004-06-21,2.0,9.0,2.0,8.0,"$50,000-74,999",Q2 2012,0.03,3000,Q2,2012
60,Past Due (31-60 days),0.2469,0.1494,D,4,MO,Professional,Employed,1993-02-22,9.0,73.0,0.0,17.0,"$75,000-99,999",Q3 2012,0.25,7307,Q3,2012
36,Completed,0.1679,0.0955,C,6,TX,Skilled Labor,Employed,2000-05-18,11.0,16.0,0.0,0.0,"$100,000+",Q2 2013,0.28,15000,Q2,2013
36,Defaulted,0.2778,0.1698,D,5,FL,Clerical,Employed,1990-10-17,15.0,45.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.37,7500,Q4,2010
36,Completed,0.1473,0.0878,B,8,PA,Other,Employed,2006-10-18,2.0,2.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.07,3600,Q3,2011
36,Completed,0.1504,0.1504,D,8,NY,Other,Employed,1989-07-01,8.0,31.0,0.0,0.0,"$75,000-99,999",Q3 2010,0.13,2000,Q3,2010
36,Completed,0.2957,0.1537,E,5,TN,Teacher,Employed,1991-08-01,25.0,40.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.68,5500,Q1,2011
36,Chargedoff,0.2896,0.1271,HR,6,CA,Scientist,Employed,2003-11-10,10.0,15.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.32,4000,Q3,2012
36,Past Due (1-15 days),0.2318,0.1093,E,3,TX,Engineer - Mechanical,Employed,1999-05-18,14.0,20.0,0.0,0.0,"$100,000+",Q1 2013,0.09,4000,Q1,2013
36,Completed,0.1164,0.1164,D,7,CA,Administrative Assistant,Employed,1994-09-01,11.0,25.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.17,1500,Q4,2010
36,Chargedoff,0.2437,0.1357,D,7,TX,Professional,Employed,1989-08-08,5.0,34.0,8.0,4.0,"$75,000-99,999",Q2 2011,0.14,6000,Q2,2011
36,Chargedoff,0.2896,0.1271,HR,5,WA,Food Service,Employed,1998-09-22,16.0,29.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.38,2500,Q3,2012
36,Completed,0.2056,0.1206,C,5,IN,Professional,Employed,2001-03-30,8.0,19.0,0.0,2.0,"$50,000-74,999",Q4 2011,0.31,4000,Q4,2011
60,Completed,0.2435,0.131,D,7,FL,Professional,Employed,1985-11-08,7.0,18.0,0.0,10.0,"$100,000+",Q4 2012,0.08,10500,Q4,2012
36,Chargedoff,0.2896,0.1246,HR,5,RI,Administrative Assistant,Employed,1984-01-12,5.0,19.0,1.0,6.0,"$50,000-74,999",Q2 2012,0.13,4000,Q2,2012
36,Defaulted,0.138,0.138,HR,4,IL,Skilled Labor,Full-time,1997-05-21,12.0,33.0,0.0,1.0,"$50,000-74,999",Q3 2009,0.13,2999,Q3,2009
36,Completed,0.0853,0.0503,A,9,NY,Professional,Employed,1997-10-01,10.0,52.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.22,6000,Q1,2011
12,Completed,0.0967,0.0587,A,8,MI,Executive,Employed,1995-11-01,8.0,31.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.12,2000,Q3,2011
36,Completed,0.2437,0.1357,D,7,WA,Sales - Commission,Employed,1999-06-07,9.0,17.0,0.0,0.0,"$75,000-99,999",Q1 2011,0.12,3000,Q1,2011
36,Completed,0.156,0.156,D,8,GA,Professional,Full-time,1999-09-15,16.0,28.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.32,7000,Q1,2010
36,Completed,0.1326,0.0761,B,8,PA,Bus Driver,Employed,2000-03-17,3.0,7.0,1.0,0.0,"$1-24,999",Q1 2012,0.09,3000,Q1,2012
36,Completed,0.058,0.058,AA,9,FL,Nurse (LPN),Full-time,1994-01-22,5.0,24.0,0.0,0.0,"$25,000-49,999",Q2 2010,0.12,3140,Q2,2010
36,Completed,0.1852,0.1003,C,7,PA,Analyst,Employed,1987-01-29,5.0,15.0,0.0,0.0,"$75,000-99,999",Q4 2012,0.15,2000,Q4,2012
36,Completed,0.0699,0.0699,HR,3,PA,Other,Full-time,1999-07-15,14.0,28.0,0.0,0.0,"$75,000-99,999",Q2 2010,0.07,4000,Q2,2010
12,Completed,0.0716,0.0386,A,9,DE,Nurse (RN),Employed,2005-11-23,9.0,15.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.1,2000,Q2,2012
36,Past Due (1-15 days),0.23673,0.10423,E,2,NY,Bus Driver,Employed,2001-10-03,10.0,20.0,0.0,0.0,"$50,000-74,999",Q4 2013,0.21,4000,Q4,2013
36,Defaulted,0.1904,0.1014,C,7,MN,Construction,Employed,1996-10-11,6.0,13.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.35,3000,Q1,2012
36,Completed,0.1463,0.1463,D,8,CA,Clerical,Part-time,1989-05-01,4.0,8.0,0.0,0.0,"$1-24,999",Q2 2010,0.18,1000,Q2,2010
36,Completed,0.1773,0.1773,E,9,NC,Social Worker,Full-time,1997-08-26,15.0,42.0,0.0,0.0,"$75,000-99,999",Q3 2010,0.29,4000,Q3,2010
36,Completed,0.1487,0.0888,B,7,CT,Accountant/CPA,Employed,2000-02-29,7.0,14.0,0.0,0.0,"$100,000+",Q2 2013,0.12,35000,Q2,2013
60,Chargedoff,0.3057,0.1567,E,3,MI,Police Officer/Correction Officer,Employed,1990-09-26,21.0,63.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.57,4000,Q2,2012
36,Completed,0.057,0.057,AA,10,AZ,Administrative Assistant,Employed,1989-09-29,4.0,12.0,0.0,0.0,"$1-24,999",Q3 2010,0.11,5000,Q3,2010
60,Past Due (61-90 days),0.1715,0.115,B,8,NJ,Food Service Management,Employed,1998-01-01,16.0,38.0,0.0,0.0,"$100,000+",Q2 2012,0.14,5000,Q2,2012
36,Completed,0.068,0.068,AA,8,CT,Executive,Full-time,1996-01-09,11.0,41.0,0.0,0.0,"$100,000+",Q2 2010,0.26,10000,Q2,2010
36,Completed,0.2352,0.1232,D,6,CA,Administrative Assistant,Employed,2000-12-20,10.0,20.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.35,10000,Q1,2012
36,Completed,0.1102,0.0728,A,6,TX,Professional,Employed,1998-03-24,5.0,30.0,0.0,0.0,"$50,000-74,999",Q2 2013,0.15,2000,Q2,2013
12,Completed,0.1106,0.0541,B,8,LA,Other,Employed,2001-08-15,5.0,30.0,0.0,2.0,"$75,000-99,999",Q3 2012,0.1,2000,Q3,2012
60,Completed,0.1621,0.1222,A,6,IL,Tradesman - Mechanic,Full-time,2004-06-26,10.0,17.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.21,11500,Q3,2012
36,Completed,0.1285,0.0905,A,9,CA,Analyst,Employed,2002-12-18,5.0,8.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.04,7000,Q3,2011
36,Completed,0.2534,0.1414,D,6,NC,Other,Employed,2008-01-22,5.0,10.0,0.0,0.0,"$1-24,999",Q4 2011,0.35,7500,Q4,2011
60,Past Due (1-15 days),0.2001,0.1152,C,5,DE,Tradesman - Mechanic,Employed,1995-06-20,11.0,24.0,0.0,0.0,"$25,000-49,999",Q1 2013,0.24,18500,Q1,2013
36,Completed,0.1399,0.1399,HR,5,NC,Teacher,Full-time,2005-09-22,6.0,7.0,0.0,0.0,"$1-24,999",Q4 2009,0.2,1200,Q4,2009
36,Completed,0.04,0.04,A,9,CA,Tradesman - Electrician,Full-time,2004-06-11,4.0,5.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.05,3500,Q4,2010
36,Completed,0.1011,0.1011,C,9,WI,Food Service Management,Full-time,1997-07-08,7.0,18.0,0.0,0.0,"$50,000-74,999",Q3 2009,0.38,2000,Q3,2009
12,Completed,0.0713,0.0414,A,8,CA,Doctor,Employed,1994-06-10,13.0,26.0,0.0,0.0,"$100,000+",Q1 2013,0.18,25000,Q1,2013
12,Completed,0.1611,0.1001,C,6,CA,Analyst,Employed,2002-06-07,6.0,17.0,2.0,0.0,"$25,000-49,999",Q3 2011,0.34,2500,Q3,2011
60,Completed,0.0854,0.0699,AA,10,TX,Computer Programmer,Employed,2001-02-09,5.0,14.0,2.0,23.0,"$75,000-99,999",Q1 2011,0.15,17000,Q1,2011
60,Past Due (16-30 days),0.1895,0.1246,C,8,OR,Sales - Retail,Employed,2006-05-22,6.0,8.0,0.0,0.0,"$25,000-49,999",Q4 2012,0.2,8000,Q4,2012
36,Chargedoff,0.1326,0.0761,B,8,MO,Police Officer/Correction Officer,Employed,2000-01-08,4.0,35.0,1.0,7.0,"$25,000-49,999",Q2 2012,0.21,9000,Q2,2012
60,Completed,0.3057,0.1567,E,2,NY,Professional,Employed,1990-07-16,14.0,55.0,0.0,21.0,"$100,000+",Q3 2012,0.22,4000,Q3,2012
36,Past Due (91-120 days),0.2738,0.1263,E,5,WA,Laborer,Employed,1998-12-03,4.0,16.0,1.0,8.0,"$75,000-99,999",Q3 2012,0.14,4000,Q3,2012
12,Completed,0.2048,0.1083,D,3,CA,Administrative Assistant,Full-time,1993-11-03,9.0,30.0,2.0,6.0,"$25,000-49,999",Q4 2011,0.57,2000,Q4,2011
36,Chargedoff,0.1855,0.0985,C,8,AZ,Clerical,Employed,1986-12-01,11.0,22.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.2,3000,Q1,2011
12,Completed,0.0827,0.0567,A,9,CA,Professional,Employed,1995-03-31,7.0,20.0,0.0,0.0,"$100,000+",Q4 2011,0.11,7000,Q4,2011
60,Completed,0.1404,0.0905,B,5,KY,Doctor,Employed,1998-09-21,11.0,31.0,0.0,0.0,"$50,000-74,999",Q2 2013,0.24,8000,Q2,2013
36,Past Due (16-30 days),0.285,0.12,HR,4,WV,Accountant/CPA,Employed,2007-03-07,9.0,12.0,0.0,0.0,"$25,000-49,999",Q4 2011,0.25,4000,Q4,2011
36,Completed,0.1952,0.1103,C,6,AZ,Analyst,Employed,1998-08-20,7.0,37.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.35,7000,Q3,2012
36,Chargedoff,0.285,0.12,HR,4,TX,Laborer,Employed,2005-03-31,5.0,11.0,1.0,3.0,"$25,000-49,999",Q4 2011,0.17,4000,Q4,2011
36,Completed,0.1808,0.0984,C,3,IN,Food Service Management,Employed,2003-10-26,10.0,18.0,1.0,2.0,"$25,000-49,999",Q2 2013,0.27,8000,Q2,2013
36,Completed,0.3199,0.1369,HR,5,VA,Computer Programmer,Employed,1996-02-22,8.0,26.0,2.0,1.0,"$50,000-74,999",Q4 2010,0.18,2500,Q4,2010
12,Completed,0.0812,0.0438,A,8,IN,Other,Employed,1998-06-24,17.0,33.0,0.0,0.0,"$100,000+",Q4 2012,0.17,20000,Q4,2012
36,Completed,0.2896,0.1246,HR,3,MD,Police Officer/Correction Officer,Employed,2001-10-10,8.0,20.0,0.0,4.0,"$1-24,999",Q3 2012,2.3,2949,Q3,2012
36,Completed,0.2437,0.1317,D,6,TX,Nurse (RN),Employed,2007-04-10,5.0,5.0,0.0,0.0,"$50,000-74,999",Q4 2011,0.09,5000,Q4,2011
36,Past Due (61-90 days),0.2896,0.1171,HR,4,OH,Professional,Employed,1992-11-13,5.0,15.0,1.0,0.0,"$50,000-74,999",Q3 2012,0.05,3000,Q3,2012
36,Completed,0.0724,0.0724,B,8,KY,Teacher,Employed,1998-03-31,11.0,54.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.13,10000,Q4,2010
36,Completed,0.2917,0.0887,HR,2,CT,Retail Management,Employed,1990-03-01,8.0,33.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.18,2000,Q2,2011
36,Completed,0.0905,0.0631,A,7,NY,Professional,Employed,1990-12-01,13.0,27.0,0.0,0.0,"$100,000+",Q2 2013,0.16,14000,Q2,2013
36,Completed,0.1463,0.1463,D,8,OR,Other,Retired,1987-08-03,11.0,41.0,0.0,6.0,"$1-24,999",Q1 2010,0.22,2000,Q1,2010
36,Completed,0.0724,0.0724,B,9,CA,Professional,Employed,2001-11-18,4.0,12.0,0.0,0.0,"$100,000+",Q4 2010,0.08,7500,Q4,2010
36,Completed,0.0555,0.04,AA,10,GA,Computer Programmer,Employed,2000-04-07,11.0,21.0,0.0,0.0,"$100,000+",Q1 2011,0.16,25000,Q1,2011
36,Completed,0.0549,0.0399,AA,10,IL,Engineer - Electrical,Employed,1988-03-01,9.0,25.0,0.0,0.0,"$75,000-99,999",Q1 2012,0.11,15000,Q1,2012
36,Completed,0.2534,0.1414,D,7,MD,Computer Programmer,Employed,1999-11-24,5.0,20.0,0.0,28.0,"$100,000+",Q3 2011,0.06,10000,Q3,2011
36,Defaulted,0.1007,0.0807,A,8,GA,Retail Management,Employed,1985-04-06,13.0,48.0,0.0,0.0,"$100,000+",Q4 2011,0.17,18000,Q4,2011
60,Past Due (1-15 days),0.2445,0.1595,C,3,CO,Nurse (RN),Employed,2001-02-12,17.0,36.0,1.0,3.0,"$50,000-74,999",Q4 2011,0.24,10000,Q4,2011
36,Completed,0.1292,0.0818,B,4,WI,Computer Programmer,Employed,1998-10-18,16.0,32.0,0.0,0.0,"$100,000+",Q2 2013,0.26,15000,Q2,2013
60,Past Due (61-90 days),0.18316,0.09066,D,6,CA,Food Service Management,Employed,1995-12-06,13.0,33.0,2.0,4.0,"$25,000-49,999",Q4 2013,0.17,8000,Q4,2013
36,Chargedoff,0.2861,0.1561,E,4,NY,Other,Employed,1995-05-22,14.0,26.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.14,7500,Q3,2011
60,Completed,0.2667,0.1242,E,2,OH,Other,Employed,1994-08-18,9.0,20.0,0.0,0.0,"$75,000-99,999",Q2 2013,0.19,4000,Q2,2013
36,Completed,0.1714,0.0965,C,3,FL,Professor,Employed,2000-09-22,8.0,22.0,0.0,2.0,"$100,000+",Q3 2013,0.08,8000,Q3,2013
36,Past Due (1-15 days),0.14311,0.08321,B,5,OR,Other,Employed,2006-04-17,11.0,17.0,0.0,0.0,"$25,000-49,999",Q4 2013,0.25,10000,Q4,2013
36,Completed,0.2534,0.1414,D,7,FL,Accountant/CPA,Employed,2002-06-12,15.0,33.0,0.0,0.0,"$100,000+",Q3 2011,0.25,10000,Q3,2011
36,Completed,0.0699,0.0699,HR,3,IL,Teacher,Full-time,2000-12-21,15.0,37.0,0.0,0.0,"$25,000-49,999",Q3 2010,0.38,6500,Q3,2010
60,Completed,0.2332,0.1442,C,7,IL,Professional,Employed,1997-03-29,7.0,39.0,0.0,27.0,"$50,000-74,999",Q2 2012,0.14,4500,Q2,2012
36,Chargedoff,0.0797,0.0597,A,8,IL,Other,Employed,2002-12-04,4.0,10.0,1.0,3.0,"$25,000-49,999",Q1 2012,0.08,3100,Q1,2012
60,Chargedoff,0.2701,0.1511,D,6,CO,Nurse's Aide,Employed,2011-03-18,2.0,2.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.12,7000,Q1,2012
36,Completed,0.0555,0.04,AA,10,NJ,Professional,Employed,2002-06-20,7.0,22.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.08,4000,Q1,2011
36,Completed,0.2575,0.115,E,6,IL,Other,Other,1998-06-25,4.0,33.0,0.0,2.0,"$25,000-49,999",Q4 2012,0.16,3200,Q4,2012
36,Completed,0.0432,0.0432,AA,10,MN,Professional,Full-time,1999-02-12,6.0,12.0,0.0,0.0,"$50,000-74,999",Q3 2009,0.04,1000,Q3,2009
36,Defaulted,0.2352,0.1232,D,5,IL,Waiter/Waitress,Employed,1996-05-18,8.0,15.0,1.0,0.0,"$25,000-49,999",Q4 2011,0.44,10000,Q4,2011
60,Completed,0.1151,0.0801,A,9,IN,Clergy,Employed,1992-06-10,7.0,25.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.16,13000,Q1,2011
36,Completed,0.2896,0.1171,HR,5,OH,Nurse (RN),Employed,1999-07-13,9.0,18.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.3,4000,Q3,2012
60,Defaulted,0.2581,0.1506,D,5,GA,Other,Employed,2001-07-14,9.0,19.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.33,2500,Q3,2012
36,Completed,0.0608,0.0608,A,9,VT,Engineer - Mechanical,Full-time,1992-02-24,10.0,31.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.15,6500,Q1,2010
36,Completed,0.1108,0.1108,C,9,NC,Analyst,Full-time,1995-06-05,11.0,13.0,1.0,0.0,"$50,000-74,999",Q4 2009,0.26,1000,Q4,2009
36,Completed,0.0992,0.0642,A,9,TX,Executive,Employed,1991-09-01,16.0,43.0,0.0,0.0,"$100,000+",Q1 2011,0.06,15000,Q1,2011
36,Past Due (91-120 days),0.23673,0.10423,E,4,NJ,Other,Employed,2006-09-16,8.0,13.0,0.0,0.0,"$50,000-74,999",Q4 2013,0.16,4000,Q4,2013
36,Completed,0.2671,0.1371,E,1,WA,Administrative Assistant,Employed,2001-08-28,11.0,26.0,0.0,5.0,"$25,000-49,999",Q2 2011,0.37,5000,Q2,2011
36,Completed,0.1211,0.1211,C,9,GA,Professional,Full-time,1999-08-17,8.0,12.0,0.0,0.0,"$25,000-49,999",Q4 2009,0.24,5000,Q4,2009
36,Completed,0.0549,0.0474,AA,10,KY,Professional,Employed,1992-03-30,28.0,54.0,0.0,0.0,"$100,000+",Q2 2012,0.21,12250,Q2,2012
36,Completed,0.1806,0.0936,C,8,CA,Professional,Employed,1994-09-28,8.0,22.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.06,4000,Q2,2011
36,Completed,0.2534,0.1414,D,6,CA,Medical Technician,Employed,1997-07-01,10.0,30.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.22,6000,Q3,2011
36,Completed,0.1326,0.0731,B,8,CA,Other,Employed,2002-12-12,5.0,16.0,0.0,21.0,"$50,000-74,999",Q1 2012,0.16,6000,Q1,2012
36,Completed,0.1482,0.1482,D,8,GA,Retail Management,Full-time,1978-10-25,27.0,67.0,0.0,3.0,"$50,000-74,999",Q4 2009,0.33,6000,Q4,2009
60,Completed,0.1445,0.1115,A,8,FL,Other,Employed,1981-01-06,11.0,28.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.47,25000,Q2,2012
36,Completed,0.0441,0.0441,AA,10,NC,Analyst,Full-time,1994-04-28,6.0,10.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.02,1000,Q1,2010
60,Completed,0.17,0.128,B,6,DE,Other,Other,1996-02-12,3.0,11.0,0.0,0.0,"$1-24,999",Q2 2012,10.01,5000,Q2,2012
36,Past Due (1-15 days),0.1597,0.0973,C,5,OH,Retail Management,Employed,2000-03-27,9.0,39.0,0.0,60.0,"$25,000-49,999",Q3 2012,0.38,7176,Q3,2012
36,Completed,0.1843,0.1843,E,6,OH,Other,Full-time,1997-06-23,6.0,29.0,1.0,0.0,"$50,000-74,999",Q1 2010,0.21,2000,Q1,2010
36,Completed,0.1369,0.1369,HR,4,MO,Other,Employed,2001-06-03,6.0,16.0,0.0,6.0,"$75,000-99,999",Q4 2010,0.11,2000,Q4,2010
36,Chargedoff,0.2534,0.1414,D,6,MD,Retail Management,Employed,1999-07-28,11.0,31.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.31,10000,Q3,2011
36,Completed,0.055,0.055,AA,10,VA,Analyst,Full-time,2005-09-21,3.0,4.0,0.0,0.0,"$25,000-49,999",Q2 2010,0.01,1500,Q2,2010
36,Completed,0.2534,0.1414,D,8,FL,Investor,Employed,2009-03-01,10.0,10.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.18,5000,Q3,2011
36,Completed,0.1808,0.0984,C,4,MI,Sales - Commission,Employed,1985-09-01,11.0,58.0,1.0,14.0,"$50,000-74,999",Q2 2013,0.17,11000,Q2,2013
36,Completed,0.0608,0.0608,A,9,NY,Other,Full-time,1999-08-27,12.0,27.0,0.0,1.0,"$50,000-74,999",Q2 2010,0.09,4500,Q2,2010
36,Chargedoff,0.06,0.06,A,9,TX,Professional,Full-time,1996-07-22,20.0,69.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.25,2000,Q1,2010
36,Completed,0.2957,0.1487,E,5,MO,Other,Employed,2006-03-28,1.0,4.0,0.0,0.0,"$1-24,999",Q2 2011,0.09,2600,Q2,2011
36,Completed,0.2917,0.1087,HR,4,IN,Professional,Employed,1998-06-07,13.0,34.0,0.0,0.0,"$25,000-49,999",Q2 2011,0.47,3000,Q2,2011
36,Completed,0.0703,0.0703,B,8,KS,Professional,Full-time,1999-11-14,8.0,25.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.13,1000,Q4,2010
36,Completed,0.0758,0.0758,D,7,GA,Clerical,Full-time,1982-12-17,11.0,60.0,1.0,2.0,"$25,000-49,999",Q3 2009,0.21,1000,Q3,2009
36,Completed,0.1669,0.1074,B,8,MD,Professional,Employed,1993-07-30,7.0,28.0,0.0,1.0,"$75,000-99,999",Q3 2011,0.1,5000,Q3,2011
60,Chargedoff,0.1924,0.125,C,5,CA,Food Service,Employed,2003-10-14,12.0,29.0,0.0,3.0,"$1-24,999",Q1 2013,0.31,12649,Q1,2013
36,Completed,0.1196,0.1196,C,9,IN,Teacher,Full-time,1997-11-29,7.0,15.0,0.0,0.0,"$50,000-74,999",Q3 2010,0.24,1500,Q3,2010
36,Past Due (16-30 days),0.217,0.1145,D,6,TX,Attorney,Employed,1993-08-16,14.0,35.0,0.0,0.0,"$100,000+",Q3 2012,0.22,4000,Q3,2012
36,Completed,0.2534,0.1414,D,5,KS,Sales - Retail,Employed,1996-03-05,33.0,58.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.46,10000,Q3,2011
60,Past Due (91-120 days),0.2332,0.1442,C,6,OH,Retail Management,Employed,1999-06-09,12.0,26.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.25,14500,Q3,2012
12,Completed,0.0678,0.0404,A,10,KY,Retail Management,Employed,1978-10-17,8.0,34.0,1.0,39.0,"$50,000-74,999",Q4 2012,0.11,3000,Q4,2012
60,Completed,0.2469,0.1494,D,2,TX,Professional,Employed,1997-02-21,59.0,115.0,0.0,0.0,"$100,000+",Q3 2012,0.32,15000,Q3,2012
60,Completed,0.1076,0.0727,A,7,AL,Nurse (RN),Employed,1998-09-18,10.0,25.0,0.0,0.0,"$50,000-74,999",Q2 2013,0.14,10000,Q2,2013
36,Completed,0.2957,0.1487,E,1,TN,Clerical,Employed,1996-04-06,10.0,37.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.21,5000,Q3,2011
36,Completed,0.1367,0.0772,B,8,TX,Computer Programmer,Employed,1996-05-01,20.0,43.0,0.0,0.0,"$75,000-99,999",Q1 2011,0.26,8221,Q1,2011
36,Completed,0.1904,0.1014,C,7,NY,Computer Programmer,Employed,2001-08-03,8.0,25.0,0.0,0.0,"$75,000-99,999",Q2 2012,0.26,15000,Q2,2012
36,Completed,0.0926,0.0666,A,8,MN,Professional,Employed,1991-12-01,9.0,35.0,0.0,0.0,"$75,000-99,999",Q3 2011,0.16,2000,Q3,2011
36,Completed,0.1463,0.1463,D,7,NH,Other,Retired,1973-08-01,9.0,33.0,2.0,13.0,"$25,000-49,999",Q1 2010,0.16,1500,Q1,2010
36,Completed,0.0788,0.0438,A,9,VA,Other,Employed,1990-01-01,1.0,13.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.05,5000,Q1,2011
36,Chargedoff,0.2727,0.1257,E,6,FL,Professional,Employed,1988-03-23,10.0,27.0,0.0,8.0,"$50,000-74,999",Q1 2012,0.16,4000,Q1,2012
36,Completed,0.0555,0.04,AA,10,AK,Analyst,Employed,1974-10-22,7.0,27.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.14,3200,Q1,2011
36,Completed,0.10568,0.07078,A,8,CA,Professional,Employed,1984-12-01,5.0,27.0,0.0,0.0,"$75,000-99,999",Q4 2013,0.14,8500,Q4,2013
60,Completed,0.1988,0.1389,B,8,AZ,Analyst,Employed,2000-08-24,9.0,17.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.4,19000,Q3,2012
60,Completed,0.24294,0.10544,E,3,VA,Military Enlisted,Employed,1996-03-01,11.0,22.0,0.0,0.0,"$50,000-74,999",Q4 2013,0.24,10000,Q4,2013
36,Completed,0.0608,0.0608,A,9,FL,Construction,Full-time,1998-09-18,10.0,30.0,0.0,0.0,"$25,000-49,999",Q1 2010,0.27,2600,Q1,2010
36,Completed,0.0535,0.0535,AA,10,MD,Computer Programmer,Full-time,1999-06-11,3.0,4.0,0.0,0.0,"$100,000+",Q4 2009,0.01,2000,Q4,2009
36,Completed,0.0608,0.0608,A,9,CA,Other,Full-time,1993-11-06,14.0,26.0,0.0,0.0,"$50,000-74,999",Q2 2010,0.17,6500,Q2,2010
36,FinalPaymentInProgress,0.1571,0.0922,C,8,DC,Administrative Assistant,Employed,1983-02-23,9.0,18.0,0.0,0.0,"$75,000-99,999",Q1 2013,0.14,15000,Q1,2013
36,Completed,0.1011,0.1011,C,9,AL,Engineer - Chemical,Full-time,2003-09-08,14.0,18.0,0.0,0.0,"$75,000-99,999",Q2 2010,0.12,5250,Q2,2010
36,Completed,0.0876,0.0876,B,8,UT,Skilled Labor,Full-time,1996-09-24,9.0,40.0,0.0,0.0,"$50,000-74,999",Q3 2009,0.25,10350,Q3,2009
36,Completed,0.0862,0.0662,A,8,VA,Other,Employed,1993-07-15,5.0,21.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.26,14500,Q2,2012
36,Defaulted,0.2896,0.1246,HR,5,GA,Military Enlisted,Employed,2001-05-16,7.0,27.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.39,4000,Q2,2012
36,Completed,0.0524,0.0524,A,9,CA,Other,Full-time,2001-10-08,7.0,12.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.17,6700,Q1,2010
36,Past Due (61-90 days),0.17416,0.08926,C,2,IL,Other,Employed,2007-01-19,11.0,17.0,0.0,0.0,"$25,000-49,999",Q4 2013,0.42,4000,Q4,2013
36,Completed,0.1219,0.0724,B,8,NM,Professional,Full-time,1983-04-29,22.0,35.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.27,5000,Q1,2011
36,Completed,0.1434,0.1434,D,8,IL,Professional,Employed,1996-11-12,7.0,35.0,1.0,9.0,"$75,000-99,999",Q3 2010,0.13,3000,Q3,2010
36,Completed,0.1434,0.1434,D,7,MD,Military Enlisted,Employed,2005-09-13,12.0,21.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.24,7400,Q4,2010
36,Completed,0.2917,0.0887,HR,2,IN,Sales - Retail,Employed,1997-03-01,11.0,38.0,1.0,1.0,"$50,000-74,999",Q2 2011,0.14,4000,Q2,2011
